rxn number,sensitivity,cantera equation,cantera products,cantera reactants
2444,-0.0015703143128805665,CF2CH(73) + CF3(45) <=> C2HF(58) + CF4(44),"{'C2HF(58)': 1.0, 'CF4(44)': 1.0}","{'CF2CH(73)': 1.0, 'CF3(45)': 1.0}"
659,0.0015593959777472678,CO2(13) + F(37) <=> CFO2(1113),{'CFO2(1113)': 1.0},"{'CO2(13)': 1.0, 'F(37)': 1.0}"
35,0.0015264156726016505,HCO(14) + O(6) <=> CO2(13) + H(5),"{'CO2(13)': 1.0, 'H(5)': 1.0}","{'HCO(14)': 1.0, 'O(6)': 1.0}"
1183,-0.0014670605402663823,C3H3F4(86) + H(5) <=> HF(38) + S(237),"{'HF(38)': 1.0, 'S(237)': 1.0}","{'C3H3F4(86)': 1.0, 'H(5)': 1.0}"
2091,-0.0014458962458504692,C3HF2(210) + C3HF4(84) <=> 2 CF3CCH(83),{'CF3CCH(83)': 2.0},"{'C3HF2(210)': 1.0, 'C3HF4(84)': 1.0}"
1510,-0.00144228415255889,C3HF3(150) + HF(38) <=> C3H2F4(1),{'C3H2F4(1)': 1.0},"{'C3HF3(150)': 1.0, 'HF(38)': 1.0}"
519,-0.0014230732601440586,CF3CCH(83) + F(37) <=> C3HF4(84),{'C3HF4(84)': 1.0},"{'CF3CCH(83)': 1.0, 'F(37)': 1.0}"
399,0.001416945993273338,C3H2F4(1) + H(5) <=> C3HF4(84) + H2(7),"{'C3HF4(84)': 1.0, 'H2(7)': 1.0}","{'C3H2F4(1)': 1.0, 'H(5)': 1.0}"
43,-0.0014157549016846822,CH(16) + H2(7) <=> CH2(T)(17) + H(5),"{'CH2(T)(17)': 1.0, 'H(5)': 1.0}","{'CH(16)': 1.0, 'H2(7)': 1.0}"
1836,-0.0013723975311018075,CF2(43) + CH2F(46) <=> S(153),{'S(153)': 1.0},"{'CF2(43)': 1.0, 'CH2F(46)': 1.0}"
93,0.0013551681538741952,CH3(18) + OH(2) <=> CH2(S)(24) + H2O(4),"{'CH2(S)(24)': 1.0, 'H2O(4)': 1.0}","{'CH3(18)': 1.0, 'OH(2)': 1.0}"
2613,-0.0013485161664471509,CF2(43) + CHF2(82) <=> CF3(45) + CHF(40),"{'CF3(45)': 1.0, 'CHF(40)': 1.0}","{'CF2(43)': 1.0, 'CHF2(82)': 1.0}"
